id;name;description;jhi_group
1;Account Internal Home;haptic;Marketing ADP
2;River Research;Card Pennsylvania;bluetooth
3;Burundi program;withdrawal Down-sized Rica;panel
4;Supervisor Belgium plum;digital;Ergonomic
5;Investor Rubber cultivate;impactful real-time XML;Borders
6;violet Checking;Bulgarian PCI;Afghani yellow Markets
7;infrastructures Customer;EXE Micronesia;XSS teal supply-chains
8;compress copy;Oregon intangible;content-based Refined
9;Executive dot-com Money;frictionless architectures Toys;system
10;program streamline;Sausages;Junctions cross-platform Mobility
