id;name;description;user_defined;default_role;role_group
1;hack Liaison vertical;Kentucky;false;true;bandwidth leverage actuating
2;Principal real-time back;Home infrastructures Wooden;false;false;withdrawal
3;orchid Factors;New;false;true;Market
4;Sports hack Maryland;Chair orchid Sports;true;false;Innovative
5;Borders Streamlined reboot;Tuna Persevering;true;false;Dynamic
6;Administrator calculate;transmit;false;false;Maine USB
7;niches Fresh;task-force;true;true;harness
8;Fantastic;neural invoice collaborative;true;true;COM
9;blue payment panel;Turnpike Shoes;true;true;Buckinghamshire
10;architectures morph Multi-lateral;Table Director;false;true;protocol efficient
