id;name;fedimint_id;number_of_node;base_port;number_of_registered_node;created_by;active;date_created
1;Soft red tangible;dynamic;18394;88908;90494;50899;false;2022-11-04T14:24:50
2;parallelism Security Manager;multi-byte Books;59244;3447;47828;92036;true;2022-11-04T09:36:04
3;Frozen Market grey;Steel;72066;33369;60963;99420;false;2022-11-04T10:14:01
4;synthesizing Directives;open-source;90639;34893;44067;68136;false;2022-11-04T17:04:43
5;innovate PCI;Coves Antillian Communications;95141;56640;30845;59171;true;2022-11-04T11:41:39
6;Organized morph;Books Intelligent;34041;38586;74454;13173;true;2022-11-04T22:57:39
7;Forward Dakota withdrawal;fuchsia supply-chains Tasty;8290;89315;25727;57223;true;2022-11-04T15:40:44
8;Electronics Buckinghamshire;AGP;91733;80948;4503;61766;false;2022-11-04T00:38:15
9;hack Metal Security;Expanded;74818;75248;98580;22259;true;2022-11-04T23:07:44
10;Common Account;Wisconsin technologies Group;4376;16250;47019;96719;false;2022-11-04T06:13:59
